Type,Code,Code Description,Type Name,Reference
0,0,No Code,Echo Reply,[RFC792]
1,0,No registrations at this time.,Unassigned,
2,0,No registrations at this time.,Unassigned,
3,0,Net Unreachable,Destination Unreachable,[RFC792]
3,1,Host Unreachable,Destination Unreachable,[RFC792]
3,2,Protocol Unreachable,Destination Unreachable,[RFC792]
3,3,Port Unreachable,Destination Unreachable,[RFC792]
3,4,Fragmentation Needed and Don't Fragment was Set,Destination Unreachable,[RFC792]
3,5,Source Route Failed,Destination Unreachable,[RFC792]
3,6,Destination Network Unknown,Destination Unreachable,[RFC792]
3,7,Destination Host Unknown,Destination Unreachable,[RFC792]
3,8,Source Host Isolated,Destination Unreachable,[RFC792]
3,9,Communication with Destination Network is Administratively Prohibited,Destination Unreachable,[RFC792]
3,10,Communication with Destination Host is Administratively Prohibited,Destination Unreachable,[RFC792]
3,11,Destination Network Unreachable for Type of Service,Destination Unreachable,[RFC792]
3,12,Destination Host Unreachable for Type of Service,Destination Unreachable,[RFC792]
3,13,Communication Administratively Prohibited,Destination Unreachable,[RFC792]
3,14,Host Precedence Violation,Destination Unreachable,[RFC792]
3,15,Precedence cutoff in effect,Destination Unreachable,[RFC792]
4,0,No registrations at this time.,Source Quench (Deprecated),[RFC792][RFC6633]
5,0,Redirect Datagram for the Network (or subnet),Redirect,[RFC792]
5,1,Redirect Datagram for the Host,Redirect,[RFC792]
5,2,Redirect Datagram for the Type of Service and Network,Redirect,[RFC792]
5,3,Redirect Datagram for the Type of Service and Host,Redirect,[RFC792]
6,0,Alternate Address for Host,Alternate Host Address (Deprecated),[RFC6918]
7,0,No registrations at this time.,Unassigned,
8,0,No Code,Echo,[RFC792]
9,0,Normal router advertisement,Router Advertisement,[RFC1256]
9,16,Does not route common traffic,Router Advertisement,[RFC1256]
10,0,No Code,Router Solicitation,[RFC1256]
11,0,Time to Live exceeded in Transit,Time Exceeded,[RFC792]
11,1,Fragment Reassembly Time Exceeded,Time Exceeded,[RFC792]
12,0,Pointer indicates the error,Parameter Problem,[RFC792]
12,1,Missing a Required Option,Parameter Problem,[RFC792]
12,2,Bad Length,Parameter Problem,[RFC792]
13,0,No Code,Timestamp,[RFC792]
14,0,No Code,Timestamp Reply,[RFC792]
15,0,No Code,Information Request (Deprecated),[RFC792][RFC6918]
16,0,No Code,Information Reply (Deprecated),[RFC792][RFC6918]
17,0,No Code,Address Mask Request (Deprecated),[RFC950][RFC6918]
18,0,No Code,Address Mask Reply (Deprecated),[RFC950][RFC6918]
19,0,No registrations at this time.,Reserved (for Security),[Solo]
20,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
21,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
22,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
23,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
24,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
25,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
26,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
27,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
28,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
29,0,No registrations at this time.,Reserved (for Robustness Experiment),[ZSu]
30,0,No registrations at this time.,Traceroute (Deprecated),[RFC1393][RFC6918]
31,0,No registrations at this time.,Datagram Conversion Error (Deprecated),[RFC1475][RFC6918]
32,0,No registrations at this time.,,Mobile Host Redirect (Deprecated),[David_Johnson][RFC6918]
33,0,No registrations at this time.,IPv6 Where-Are-You (Deprecated),[Simpson][RFC6918]
34,0,No registrations at this time.,IPv6 I-Am-Here (Deprecated),[Simpson][RFC6918]
35,0,No registrations at this time.,Mobile Registration Request (Deprecated),[Simpson][RFC6918]
36,0,No registrations at this time.,Mobile Registration Reply (Deprecated),[Simpson][RFC6918]
37,0,No registrations at this time.,Domain Name Request (Deprecated),[RFC1788][RFC6918]
38,0,No registrations at this time.,Domain Name Reply (Deprecated),[RFC1788][RFC6918]
39,0,No registrations at this time.,SKIP (Deprecated),[Markson][RFC6918]
40,0,Bad SPI,Photuris,[RFC2521]
40,1,Authentication Failed,Photuris,[RFC2521]
40,2,Decompression Failed,Photuris,[RFC2521]
40,3,Decryption Failed,Photuris,[RFC2521]
40,4,Need Authentication,Photuris,[RFC2521]
40,5,Need Authorization,Photuris,[RFC2521]
41,0,No registrations at this time.,"ICMP messages utilized by experimental mobility protocols such as Seamoby",[RFC4065]
42,0,No Error,Extended Echo Request,[RFC8335]
43,0,No Error,Extended Echo Reply,[RFC8335]
43,1,Malformed Query,Extended Echo Reply,[RFC8335]
43,2,No Such Interface,Extended Echo Reply,[RFC8335]
43,3,No Such Table Entry,Extended Echo Reply,[RFC8335]
43,4,Multiple Interfaces Satisfy Query,Extended Echo Reply,[RFC8335]
253,0,No registrations at this time.,RFC3692-style Experiment 1,[RFC4727]
254,0,No registrations at this time.,RFC3692-style Experiment 2,[RFC4727]
255,0,UnKnown,Reserved,[JBP]